44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44
44,0,1,80,44,44,44,44,4,5,6,44,44,44,44,44,44,44,44,44,44
44,20,21,44,80,22,44,44,24,25,26,44,44,44,44,44,44,44,44,44,44
44,44,44,80,80,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,80,44,44,44
44,44,44,44,44,44,44,44,44,44,44,44,80,80,80,44,44,44,44,44,44
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,60,40,40,40,40,40
44,44,80,44,44,44,44,44,44,44,61,44,44,44,40,44,44,44,44,44,44
41,41,45,45,45,45,45,45,81,82,82,82,83,41,80,44,44,44,44,44,44
44,44,80,80,80,44,44,44,181,182,182,182,183,44,44,44,44,44,44,44,44
44,44,80,80,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,80,44
44,44,44,44,44,44,44,44,44,44,44,44,80,80,44,44,44,44,44,44,44
